approval_id,sandbox_table,provider_id,botanical_name,common_name,species_id,approval_status,target_action,attribute_name,attribute_value,evidence_confidence,source_url,supplier_status,product_url,mowability_score,reviewer,review_date,review_notes,candidate_status,vancouver_eligibility_status,product_category,candidate_reason,sandbox_review_status,sandbox_notes
PA-DEMO-001,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,Common Yarrow,BCNPPD-0001,approved,update_existing,Plant Type,Forb,Pending review,https://satinflower.ca/products/achillea-millefolium,,,,P18 demo,2026-07-03,Demo provider observation for user testing only; remains candidate pending review.,,,,,,
PA-DEMO-002,supplier_availability.csv,PROV-SATIN,Achillea millefolium,Common Yarrow,BCNPPD-0001,approved,record_supplier,,,Pending review,https://satinflower.ca/products/achillea-millefolium,available,https://satinflower.ca/products/achillea-millefolium,,P18 demo,2026-07-03,Demo supplier observation for user testing only.,,,,,,
PA-DEMO-003,mowability.csv,PROV-SATIN,Achillea millefolium,Common Yarrow,BCNPPD-0001,approved,record_mowability,,,Pending review,https://satinflower.ca/products/achillea-millefolium,,,3,P18 demo,2026-07-03,Demo provisional mowability observation for user testing only.,,,,,,
PA-DEMO-004,candidate_species.csv,PROV-PREMIER,Festuca rubra,red fescue,,approved,add_species,,,Pending review,https://premierpacificseeds.ca/products/,,,,P18 demo,2026-07-03,Demo new provider candidate pending taxonomy and Vancouver suitability review.,,,,,,
PA-DEMO-005,candidate_species.csv,PROV-WCS,Lactuca sativa,lettuce,,rejected,add_species,,,Pending review,https://www.westcoastseeds.com/products/lettuce,,,,P18 demo,2026-07-03,Rejected vegetable demo row; must not enter PoC.,,,,,,
PA-DRAFT-0001,candidate_species.csv,PROV-SATIN,Achillea millefolium,Yarrow,BCNPPD-0001,approved,update_existing,,,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Draft species-level decision; export from the static app after expert review.,,,,,,
PA-DRAFT-0002,supplier_availability.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,record_supplier,,,Pending review,https://satinflower.ca/products/achillea-millefolium,available,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Draft supplier row; approve only with the species decision.,,,,,,
PA-DRAFT-0003,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,product title,Achillea millefolium (Yarrow),Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0004,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,product type,plant,Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
PA-DRAFT-0005,candidate_attributes.csv,PROV-SATIN,Achillea millefolium,,BCNPPD-0001,approved,update_existing,tags,"BLOOMTIME_Apr-Jun, BLOOMTIME_Jul-Sep, FEATURE_attracts bees, FEATURE_attracts pollinators, FEATURE_deer-resistant, FEATURE_drought-tolerant, FEATURE_edible, FEATURE_fragrant, FEATURE_late-blooming, FEATURE_partially evergreen, FEATURE_salt-tolerant, FEATURE_winter foliage, FEATURE_winter interest, FORM_forb, HABIT_perennial, HABIT_rhizomatous, HABITAT_beach, HABITAT_coastal/salty, HABITAT_meadow, HABITAT_rocky, HABITAT_sandy, HEIGHT_0.5 - 2 m, HEIGHT_up to 0.5 m, LIGHT_part shade, LIGHT_sun, SEED SOWING TIME_fall, SEED SOWING TIME_spring, SOIL_dry, SOIL_mesic",Pending review,https://satinflower.ca/products/achillea-millefolium,,https://satinflower.ca/products/achillea-millefolium,,expert reviewer,2026-07-05,Attribute rows default to deferred pending row-level review.,,,,,,
