Species ID,Botanical Name,Common Name,Family,Native Status,Life Cycle,Sun,Soil Moisture,Urban Toughness,reviewed_field_count,gap_count,score_readiness,Primary References,candidate_views,provider_data,supplier_count,supplier_statuses,mowability_score,provider_review_status,poc_caveat
BCNPPD-0479,Abies balsamea,Balsam Fir,,Pending review,,,,,0,5,not_ready,SRC-0446,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0449,Acer negundo,Box Elder,,Pending review,,,,,0,5,not_ready,SRC-0407,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0463,Acer saccharum,Sugar Maple Zone 3/4 30+,,Pending review,,,,,0,5,not_ready,SRC-0423,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0001,Achillea millefolium,Common Yarrow,Asteraceae,Native; common in BC,Perennial,Full sun to part sun,Dry to mesic,5,4,5,not_ready,SRC-0001;SRC-0002;SRC-0024;SRC-0354;SRC-0403,Boulevard;Dry Sun,yes,3,available,3,pending_review,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0420,Achillea millefolium occidentalis,Western Yarrow,,Pending review,,,,,0,5,not_ready,SRC-0378;SRC-0380;SRC-0379,,yes,4,mix_component;unknown,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0055,Acmispon americanus,Spanish-clover,,Pending review,,,,,0,5,not_ready,SRC-0037;SRC-0188,,yes,2,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0486,Actaea racemosa,Black Cohosh,,Pending review,,,,,0,5,not_ready,SRC-0453,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0466,Agastache foeniculum,Giant Hyssop,,Pending review,,,,,0,5,not_ready,SRC-0429,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0377,Agastache rugosa,Purple Giant Hyssop,,Pending review,,,,,0,5,not_ready,SRC-0373,,yes,1,mix_component,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0330,Agastache urticifolia,Nettleleaf Horsemint,,Pending review,,,,,0,5,not_ready,SRC-0344,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0207,Agoseris grandiflora,Grand Agoseris,,Pending review,,,,,0,5,not_ready,SRC-0195,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0297,Agrostis exarata,Spike Bentgrass,,Pending review,,,,,0,5,not_ready,SRC-0299;SRC-0378;SRC-0379,,yes,4,available;mix_component;unknown,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0259,Agrostis pallens,Seashore Bentgrass,,Pending review,,,,,0,5,not_ready,SRC-0256,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0399,Agrostis scabra,Hair Bentgrass,,Pending review,,,,,0,5,not_ready,SRC-0378,,yes,1,unknown,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0056,Alaska oniongrass,Melica subulata,,Pending review,,,,,0,5,not_ready,SRC-0038,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0236,Alisma triviale,Water Plantain,,Pending review,,,,,0,5,not_ready,SRC-0229,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0230,Allium amplectens,Slimleaf Onion,,Pending review,,,,,0,5,not_ready,SRC-0221;SRC-0222,,yes,2,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0011,Allium cernuum,Nodding Onion,Amaryllidaceae,Native in BC,Perennial geophyte,Full sun,Dry to mesic,4,4,5,not_ready,SRC-0014;SRC-0004;SRC-0320,Boulevard;Dry Sun,yes,1,available,,pending_review,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0173,Allium schoenoprasum,Skagit Bay Chives,,Pending review,,,,,0,5,not_ready,SRC-0156;SRC-0437,,yes,2,available;unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
