Species ID,Legacy ID,Botanical Name,Common Name,Family,Native Status,Plant Type,Life Cycle,Sun,Soil Moisture,Urban Toughness,Evidence Level,Primary References,record_status,evidence_status,poc_caveat,reviewed_field_count,gap_count,evidence_hardening_status,score_readiness,next_review_action
BCNPPD-0001,CDF-0001,Achillea millefolium,Common Yarrow,Asteraceae,Native; common in BC,,Perennial,Full sun to part sun,Dry to mesic,5,B,SRC-0001;SRC-0002;SRC-0024,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0002,CDF-0002,Fragaria virginiana,Wild Strawberry,Rosaceae,Native in BC,,Perennial,Full sun to part shade,Dry to mesic,5,C,SRC-0003;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0003,CDF-0003,Prunella vulgaris var. lanceolata,Lanceleaf Self-heal,Lamiaceae,Native variety in BC,,Perennial,Sun to part shade,Mesic,5,C,SRC-0005;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0004,CDF-0004,Camassia quamash,Common Camas,Asparagaceae,Native in SW BC,,Perennial geophyte,Full sun,Winter wet / summer dry to mesic,4,B,SRC-0006;SRC-0007,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0005,CDF-0005,Aquilegia formosa,Red Columbine,Ranunculaceae,Native in BC,,Perennial,Part shade to sun,Mesic,4,C,SRC-0008;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0006,CDF-0006,Tellima grandiflora,Fringecup,Saxifragaceae,Native in coastal BC,,Perennial,Part shade to shade,Mesic,4,C,SRC-0009;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0007,CDF-0007,Tiarella trifoliata,Foamflower,Saxifragaceae,Native in coastal BC,,Perennial,Part shade to shade,Mesic to moist,4,C,SRC-0010;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0008,CDF-0008,Viola adunca,Early Blue Violet,Violaceae,Native in BC,,Perennial,Sun to part shade,Dry to mesic,5,C,SRC-0011;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0009,CDF-0009,Viola glabella,Stream Violet,Violaceae,Native in BC,,Perennial,Part shade to shade,Moist,3,C,SRC-0012;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0010,CDF-0010,Dicentra formosa,Pacific Bleeding Heart,Papaveraceae,Native in coastal BC,,Perennial,Part shade to shade,Mesic to moist,4,C,SRC-0013;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0011,CDF-0011,Allium cernuum,Nodding Onion,Amaryllidaceae,Native in BC,,Perennial geophyte,Full sun,Dry to mesic,4,C,SRC-0014;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0012,CDF-0012,Eriophyllum lanatum,Oregon Sunshine,Asteraceae,Native in SW BC/Garry oak systems,,Perennial subshrub/forb,Full sun,Dry,5,C,SRC-0015;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0013,CDF-0013,Lomatium nudicaule,Bare-stem Desert-parsley,Apiaceae,Native in coastal dry meadow/bluff systems,,Perennial,Full sun,Dry to mesic winter/spring,3,C,SRC-0016;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0014,CDF-0014,Plectritis congesta,Sea Blush,Caprifoliaceae,Native in coastal BC,,Annual,Full sun,Vernal moist to summer dry,4,C,SRC-0017;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0015,CDF-0015,Collinsia parviflora,Small-flowered Blue-eyed Mary,Plantaginaceae,Native in BC,,Annual,Sun to part shade,Mesic spring; summer dry,4,C,SRC-0018;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0016,CDF-0016,Clinopodium douglasii,Yerba Buena,Lamiaceae,Native in coastal BC,,Perennial,Part shade to shade,Mesic,4,D,SRC-0019;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0017,CDF-0017,Arctostaphylos uva-ursi,Kinnikinnick,Ericaceae,Native in BC,,Evergreen subshrub,Full sun to part sun,Dry,5,B,SRC-0020;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0018,CDF-0018,Mahonia nervosa,Dull Oregon-grape,Berberidaceae,Native in coastal BC,,Evergreen subshrub,Part shade to shade,Dry to mesic,4,C,SRC-0021;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0019,CDF-0019,Maianthemum dilatatum,False Lily-of-the-Valley,Asparagaceae,Native in coastal BC,,Perennial,Shade to part shade,Moist,3,D,SRC-0022;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
BCNPPD-0020,CDF-0020,Carex obnupta,Slough Sedge,Cyperaceae,Native in coastal BC,,Perennial graminoid,Sun to shade,Moist to wet,3,C,SRC-0023;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions.",4,5,identity_native_range_reviewed_use_fields_candidate,not_ready,"Review horticultural/use fields and create explicit P4 score-input rows before calculating UNI, PSI, or RVI."
