species_id,provider_id,botanical_name,supplier_status,product_url,source_id,review_status,notes
BCNPPD-0001,PROV-NWM,Achillea millefolium,available,https://northwestmeadowscapes.com/products/western-yarrow-achillea-millefolium,SRC-0354,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0001,PROV-OAKSUMMIT,Achillea millefolium,available,https://oaksummitnursery.ca/products/yarrow-seeds-achillea-millefolium-common-yarrow-plumajillo-150-seeds,SRC-0403,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0001,PROV-SATIN,Achillea millefolium,available,https://satinflower.ca/products/achillea-millefolium,SRC-0002,pending_review,Demo supplier observation for user testing only.
BCNPPD-0004,PROV-NWM,Camassia quamash,available,https://northwestmeadowscapes.com/products/common-camas-bulbs-camassia-quamash,SRC-0243,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0004,PROV-NWM,Camassia quamash,available,https://northwestmeadowscapes.com/products/common-camas-camassia-quamash,SRC-0244,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0005,PROV-NWM,Aquilegia formosa,available,https://northwestmeadowscapes.com/products/western-columbine-aquilegia-formosa,SRC-0356,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0006,PROV-NWM,Tellima grandiflora,available,https://northwestmeadowscapes.com/products/fringecup-seeds-tellima-grandiflora,SRC-0306,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,mix_component,https://premierpacificseeds.ca/products/bc-native-species/,SRC-0378,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,mix_component,https://premierpacificseeds.ca/products/reclamation-seed/,SRC-0379,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,mix_component,https://premierpacificseeds.ca/products/wildflower-seed/,SRC-0380,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0006,PROV-SATIN,Tellima grandiflora,available,https://satinflower.ca/products/tellima-grandiflora,SRC-0135,pending_review,Draft supplier row; approve only with the species decision.
BCNPPD-0011,PROV-NWM,Allium cernuum,available,https://northwestmeadowscapes.com/products/nodding-pink-onion-seeds-allium-cernuum,SRC-0320,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0012,PROV-NWM,Eriophyllum lanatum,unavailable,https://northwestmeadowscapes.com/products/oregon-sunshine-eriophyllum-lanatum,SRC-0352,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,mix_component,https://premierpacificseeds.ca/products/bc-native-species/,SRC-0378,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,mix_component,https://premierpacificseeds.ca/products/reclamation-seed/,SRC-0379,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,mix_component,https://premierpacificseeds.ca/products/wildflower-seed/,SRC-0380,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0012,PROV-WCS,Eriophyllum lanatum,available,https://www.westcoastseeds.com/products/common-woolly-sunflower,SRC-0375,pending_review,Auto-approved supplier row via apply_provider_sandbox.
BCNPPD-0013,PROV-NWM,Lomatium nudicaule,available,https://northwestmeadowscapes.com/products/barestem-biscuitroot-seeds-lomatium-nudicaule,SRC-0329,pending_review,Auto-approved supplier row via apply_provider_sandbox.
