Species ID,Legacy ID,Botanical Name,Common Name,Family,Native Status,Plant Type,Life Cycle,Sun,Soil Moisture,Urban Toughness,Evidence Level,Primary References,record_status,evidence_status,poc_caveat
BCNPPD-0479,CDF-0479,Abies balsamea,Balsam Fir,,Pending review,,,,,,Pending review,SRC-0446,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0449,CDF-0449,Acer negundo,Box Elder,,Pending review,,,,,,Pending review,SRC-0407,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0463,CDF-0463,Acer saccharum,Sugar Maple Zone 3/4 30+,,Pending review,,,,,,Pending review,SRC-0423,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0001,CDF-0001,Achillea millefolium,Common Yarrow,Asteraceae,Native; common in BC,Forb,Perennial,Full sun to part sun,Dry to mesic,5,B,SRC-0001;SRC-0002;SRC-0024;SRC-0354;SRC-0403,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0420,CDF-0420,Achillea millefolium occidentalis,Western Yarrow,,Pending review,,,,,,Pending review,SRC-0378;SRC-0380;SRC-0379,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0055,CDF-0055,Acmispon americanus,Spanish-clover,,Pending review,,,,,,Pending review,SRC-0037;SRC-0188,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0486,CDF-0486,Actaea racemosa,Black Cohosh,,Pending review,,,,,,Pending review,SRC-0453,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0466,CDF-0466,Agastache foeniculum,Giant Hyssop,,Pending review,,,,,,Pending review,SRC-0429,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0377,CDF-0377,Agastache rugosa,Purple Giant Hyssop,,Pending review,,,,,,Pending review,SRC-0373,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0330,CDF-0330,Agastache urticifolia,Nettleleaf Horsemint,,Pending review,,,,,,Pending review,SRC-0344,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0207,CDF-0207,Agoseris grandiflora,Grand Agoseris,,Pending review,,,,,,Pending review,SRC-0195,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0297,CDF-0297,Agrostis exarata,Spike Bentgrass,,Pending review,,,,,,Pending review,SRC-0299;SRC-0378;SRC-0379,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0259,CDF-0259,Agrostis pallens,Seashore Bentgrass,,Pending review,,,,,,Pending review,SRC-0256,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0399,CDF-0399,Agrostis scabra,Hair Bentgrass,,Pending review,,,,,,Pending review,SRC-0378,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0056,CDF-0056,Alaska oniongrass,Melica subulata,,Pending review,,,,,,Pending review,SRC-0038,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0236,CDF-0236,Alisma triviale,Water Plantain,,Pending review,,,,,,Pending review,SRC-0229,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0230,CDF-0230,Allium amplectens,Slimleaf Onion,,Pending review,,,,,,Pending review,SRC-0221;SRC-0222,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0011,CDF-0011,Allium cernuum,Nodding Onion,Amaryllidaceae,Native in BC,,Perennial geophyte,Full sun,Dry to mesic,4,C,SRC-0014;SRC-0004;SRC-0320,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0173,CDF-0173,Allium schoenoprasum,Skagit Bay Chives,,Pending review,,,,,,Pending review,SRC-0156;SRC-0437,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0283,CDF-0283,Allium validum,Swamp Onion,,Pending review,,,,,,Pending review,SRC-0284,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0190,CDF-0190,Alopecurus aequalis,Short Awn Foxtail,,Pending review,,,,,,Pending review,SRC-0173,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0438,CDF-0438,Amelanchier alnifolia,Wild Saskatoon Serviceberry Tree,,Pending review,,,,,,Pending review,SRC-0391,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0057,CDF-0057,American winter cress,Barbarea orthoceras,,Pending review,,,,,,Pending review,SRC-0039,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0352,CDF-0352,Ammi majus,Bishop's Flower,,Pending review,,,,,,Pending review,SRC-0370,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0304,CDF-0304,Amsinckia menziesii,Common Fiddleneck,,Pending review,,,,,,Pending review,SRC-0309,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0021,CDF-0021,Anaphalis margaritacea,Pearly Everlasting,,Pending review,,,,,,Pending review,SRC-0025;SRC-0272;SRC-0378;SRC-0380;SRC-0379,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0421,CDF-0421,Anaphalis margaritacia,Pearly Everlasting,,Pending review,,,,,,Pending review,SRC-0378,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0465,CDF-0465,Anemone patens,Prairie Crocus,,Pending review,,,,,,Pending review,SRC-0426,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0058,CDF-0058,Antennaria howellii,Howell's Pussytoes,,Pending review,,,,,,Pending review,SRC-0040,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
