source_id,source_name,source_tier,p7_review_status,usable_for,rationale
SRC-0001,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0002,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0003,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0004,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0005,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0006,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0007,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0008,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0009,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0010,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0011,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0012,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0013,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0014,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0015,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0016,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0017,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0018,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0019,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0020,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0021,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0022,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0023,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0024,Native Plant Network,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0025,User-submitted Vancouver PoC expansion list,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0026,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0027,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0028,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0029,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0030,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0031,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0032,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0033,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0034,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0035,E-Flora BC,Tier 2,accepted_for_poc_identity_native_range,identity_native_range,Tier 1/2 source is acceptable for P7 PoC identity/native-range review.
SRC-0036,Premier Pacific Seeds,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0037,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0038,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0039,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0040,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0041,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0042,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0043,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0044,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0045,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0046,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0047,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0048,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0049,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0050,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0051,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0052,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0053,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0054,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0055,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0056,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0057,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0058,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0059,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0060,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0061,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0062,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0063,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0064,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0065,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0066,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0067,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0068,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0069,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0070,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0071,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0072,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0073,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0074,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0075,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0076,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0077,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0078,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0079,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0080,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0081,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0082,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0083,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0084,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0085,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0086,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0087,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0088,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0089,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0090,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0091,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0092,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0093,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0094,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0095,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0096,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0097,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0098,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0099,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0100,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0101,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0102,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0103,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0104,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0105,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0106,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0107,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0108,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0109,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0110,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0111,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0112,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0113,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0114,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0115,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0116,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0117,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0118,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0119,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0120,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0121,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0122,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0123,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0124,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0125,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0126,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0127,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0128,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0129,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0130,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0131,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0132,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0133,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0134,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0135,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0136,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0137,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0138,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0139,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0140,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0141,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0142,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0143,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0144,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0145,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0146,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0147,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0148,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0149,Satinflower Nurseries,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0150,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0151,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0152,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0153,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0154,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0155,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0156,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0157,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0158,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0159,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0160,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0161,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0162,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0163,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0164,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0165,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0166,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0167,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0168,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0169,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0170,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0171,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0172,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0173,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0174,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0175,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0176,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0177,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0178,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0179,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0180,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0181,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0182,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0183,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0184,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
SRC-0185,Northwest Meadowscapes,Tier 3,candidate_practitioner_context,context_only,"Tier 3 source is retained as context, not as reviewed score input."
